date,¦Â,beta1,beta2,beta3
2019/12/27,0.241790818,0.241790818,0.241790818,0.241790818
2019/12/28,0.275245837,0.275245837,0.275245837,0.275245837
2019/12/29,0.283220803,0.283220803,0.283220803,0.283220803
2019/12/30,0.252234429,0.252234429,0.252234429,0.252234429
2019/12/31,0.280725201,0.280725201,0.280725201,0.280725201
2020/1/1,0.226290954,0.226290954,0.226290954,0.226290954
2020/1/2,0.20023604,0.20023604,0.20023604,0.20023604
2020/1/3,0.24978026,0.24978026,0.24978026,0.24978026
2020/1/4,0.266206194,0.266206194,0.266206194,0.266206194
2020/1/5,0.289978194,0.289978194,0.289978194,0.289978194
2020/1/6,0.280701831,0.280701831,0.280701831,0.280701831
2020/1/7,0.298541803,0.298541803,0.298541803,0.298541803
2020/1/8,0.309673303,0.309673303,0.309673303,0.309673303
2020/1/9,0.31023169,0.31023169,0.31023169,0.31023169
2020/1/10,0.31167351,0.31167351,0.31167351,0.31167351
2020/1/11,0.332125355,0.332125355,0.332125355,0.332125355
2020/1/12,0.344955633,0.344955633,0.344955633,0.344955633
2020/1/13,0.337581486,0.337581486,0.337581486,0.337581486
2020/1/14,0.323591701,0.323591701,0.323591701,0.323591701
2020/1/15,0.387398971,0.387398971,0.387398971,0.387398971
2020/1/16,0.379754976,0.379754976,0.379754976,0.379754976
2020/1/17,0.38295298,0.38295298,0.38295298,0.38295298
2020/1/18,0.396983229,0.396983229,0.396983229,0.396983229
2020/1/19,0.391467825,0.391467825,0.391467825,0.391467825
2020/1/20,0.341988382,0.30898115,0.30898115,0.30898115
2020/1/21,0.315804637,0.288170227,0.288170227,0.288170227
2020/1/22,0.274833144,0.267359304,0.267359304,0.267359304
2020/1/23,0.237519657,0.246548381,0.246548381,0.246548381
2020/1/24,0.183536129,0.225737458,0.225737458,0.225737458
2020/1/25,0.165829278,0.204926536,0.204926536,0.204926536
2020/1/26,0.151141472,0.184115613,0.184115613,0.184115613
2020/1/27,0.131307747,0.16330469,0.16330469,0.16330469
2020/1/28,0.180970372,0.142493767,0.142493767,0.142493767
2020/1/29,0.146476294,0.121682844,0.121682844,0.121682844
2020/1/30,0.110405276,0.100871921,0.100871921,0.100871921
2020/1/31,0.092040318,0.080060999,0.080060999,0.080060999
2020/2/1,0.077893282,0.059250076,0.059250076,0.059250076
2020/2/2,0.022196131,0.038439153,0.038439153,0.038439153
2020/2/3,0.035453585,0.035453585,0.034632831,0.022843314
2020/2/4,0.03498925,0.035453585,0.034632831,0.022843314
2020/2/5,0.037797639,0.035453585,0.034632831,0.022843314
2020/2/6,0.03530911,0.035453585,0.034632831,0.022843314
2020/2/7,0.036699637,0.035453585,0.034632831,0.022843314
2020/2/8,0.036279704,0.035453585,0.034632831,0.022843314
2020/2/9,0.03794013,0.035453585,0.034632831,0.022843314
2020/2/10,0.022593596,0.035453585,0.034632831,0.022843314
2020/2/11,0.023671189,0.035453585,0.016106447,0.022843314
2020/2/12,0.025908607,0.035453585,0.016106447,0.022843314
2020/2/13,0.023609546,0.035453585,0.016106447,0.022843314
2020/2/14,0.01801397,0.035453585,0.016106447,0.022843314
2020/2/15,0.018912219,0.035453585,0.016106447,0.022843314
2020/2/16,0.020673686,0.035453585,0.016106447,0.022843314
2020/2/17,0.007233459,0.035453585,0.016106447,0.022843314
2020/2/18,0.007233459,0.035453585,0.016106447,0.022843314
2020/2/19,0.011690663,0.035453585,0.016106447,0.022843314
2020/2/20,0.022595298,0.035453585,0.016106447,0.022843314
2020/2/21,0.016951291,0.035453585,0.016106447,0.022843314
2020/2/22,0.011031374,0.035453585,0.016106447,0.022843314
2020/2/23,0.015980641,0.035453585,0.016106447,0.022843314
2020/2/24,0.00921832,0.035453585,0.016106447,0.022843314
2020/2/25,0.00921832,0.035453585,0.016106447,0.022843314
2020/2/26,0.00921832,0.035453585,0.016106447,0.022843314
2020/2/27,0.00921832,0.035453585,0.016106447,0.022843314
2020/2/28,0.00921832,0.035453585,0.016106447,0.022843314
2020/2/29,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/1,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/2,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/3,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/4,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/5,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/6,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/7,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/8,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/9,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/10,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/11,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/12,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/13,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/14,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/15,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/16,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/17,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/18,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/19,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/20,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/21,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/22,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/23,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/24,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/25,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/26,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/27,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/28,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/29,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/30,0.00921832,0.035453585,0.016106447,0.022843314
2020/3/31,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/1,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/2,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/3,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/4,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/5,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/6,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/7,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/8,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/9,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/10,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/11,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/12,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/13,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/14,0.00921832,0.035453585,0.016106447,0.022843314
2020/4/15,0.00921832,0.035453585,0.016106447,0.022843314
